Output Power (kW),Fuel Consumption (litres),Input Power (kWh),Efficiency (%)
45,26.47,285.87600000000003,15.7410905427528
90,36.0,388.8,23.14814814814815
135,47.36,511.488,26.39358108108108
180,55.38,598.104,30.095100517635725
225,68.18,736.3440000000002,30.556370392099335
270,79.41,857.628,31.4821810855056
315,92.64,1000.5120000000001,31.483880253310303
360,102.85,1110.78,32.40965807810728
405,117.39,1267.8120000000001,31.94479938665985
